timestamp_utc,side,level,price,size,outcome
2025-08-13 12:11:09.948000+00:00,bid,1,0.01,242072,YES
2025-08-13 12:11:09.948000+00:00,bid,2,0.02,34768,YES
2025-08-13 12:11:09.948000+00:00,bid,3,0.03,1000,YES
2025-08-13 12:11:09.948000+00:00,bid,4,0.04,9092,YES
2025-08-13 12:11:09.948000+00:00,bid,5,0.06,200,YES
2025-08-13 12:11:09.948000+00:00,bid,6,0.07,500,YES
2025-08-13 12:11:09.948000+00:00,bid,7,0.08,2148,YES
2025-08-13 12:11:09.948000+00:00,bid,8,0.09,2666,YES
2025-08-13 12:11:09.948000+00:00,bid,9,0.1,100,YES
2025-08-13 12:11:09.948000+00:00,bid,10,0.11,500,YES
2025-08-13 12:11:09.948000+00:00,bid,11,0.12,100,YES
2025-08-13 12:11:09.948000+00:00,bid,12,0.15,3105,YES
2025-08-13 12:11:09.948000+00:00,bid,13,0.16,512,YES
2025-08-13 12:11:09.948000+00:00,bid,14,0.17,1410,YES
2025-08-13 12:11:09.948000+00:00,bid,15,0.18,776,YES
2025-08-13 12:11:09.948000+00:00,bid,16,0.3,10,YES
2025-08-13 12:11:09.948000+00:00,bid,17,0.32,128,YES
2025-08-13 12:11:09.948000+00:00,bid,18,0.35,10,YES
2025-08-13 12:11:09.948000+00:00,bid,19,0.4,5,YES
2025-08-13 12:11:09.948000+00:00,bid,20,0.45,5,YES
2025-08-13 12:11:09.948000+00:00,ask,1,0.99,116693.77,YES
2025-08-13 12:11:09.948000+00:00,ask,2,0.98,8000.11,YES
2025-08-13 12:11:09.948000+00:00,ask,3,0.97,2004.92,YES
2025-08-13 12:11:09.948000+00:00,ask,4,0.96,300,YES
2025-08-13 12:11:09.948000+00:00,ask,5,0.95,160,YES
2025-08-13 12:11:09.948000+00:00,ask,6,0.94,9200,YES
2025-08-13 12:11:09.948000+00:00,ask,7,0.93,80,YES
2025-08-13 12:11:09.948000+00:00,ask,8,0.92,1100,YES
2025-08-13 12:11:09.948000+00:00,ask,9,0.91,1040,YES
2025-08-13 12:11:09.948000+00:00,ask,10,0.9,122.34,YES
2025-08-13 12:11:09.948000+00:00,ask,11,0.89,120,YES
2025-08-13 12:11:09.948000+00:00,ask,12,0.88,1046.35,YES
2025-08-13 12:11:09.948000+00:00,ask,13,0.87,4769,YES
2025-08-13 12:11:09.948000+00:00,ask,14,0.86,525.03,YES
2025-08-13 12:11:09.948000+00:00,ask,15,0.85,4271.43,YES
2025-08-13 12:11:09.948000+00:00,ask,16,0.84,500,YES
2025-08-13 12:11:09.948000+00:00,ask,17,0.83,1048.07,YES
2025-08-13 12:11:09.948000+00:00,ask,18,0.82,2905.03,YES
2025-08-13 12:11:09.948000+00:00,ask,19,0.81,328.76,YES
2025-08-13 12:11:09.948000+00:00,ask,20,0.8,601.7,YES
